Source,Target,Weight,type
"6812","2631",0.0074074,Undirected
"6812","0542",0.0114943,Undirected
"6812","0224",0.0144928,Undirected
"6812","8439",0.0065359,Undirected
"6812","6584",0.010101,Undirected
"6812","6251",0.0128205,Undirected
"6812","0619",0.0185185,Undirected
"0811","8472",0.0083333,Undirected
"6114","8744",0.0104167,Undirected
"5331","8441",0.0074074,Undirected
"2782","7524",0.0151515,Undirected
"2116","8947",0.0119048,Undirected
"2116","8994",0.0119048,Undirected
"2116","6978",0.0119048,Undirected
"2116","8482",0.0119048,Undirected
"2116","8989",0.0119048,Undirected
"2116","7723",0.0119048,Undirected
"8439","8452",0.6725073,Undirected
"8439","5841",0.0061728,Undirected
"8439","8431",0.6777376,Undirected
"8439","8472",0.5736724,Undirected
"8439","8433",0.7635007,Undirected
"8439","8421",0.6047065,Undirected
"8439","8423",0.821247,Undirected
"8439","8462",0.7269352,Undirected
"8439","5416",0.0070922,Undirected
"8439","8442",0.6269025,Undirected
"8439","8435",0.7440628,Undirected
"8439","8451",0.7388093,Undirected
"8439","8441",0.7515181,Undirected
"8439","8465",0.6977317,Undirected
"8439","8459",0.7922724,Undirected
"8439","8432",0.5942227,Undirected
"8439","8424",0.674346,Undirected
"8439","8463",0.7647831,Undirected
"8439","8434",0.7190083,Undirected
"8439","8443",0.5594879,Undirected
"7244","0350",0.008547,Undirected
"7244","7367",0.6316138,Undirected
"7524","7768",0.7306398,Undirected
"7524","7764",0.6186869,Undirected
"7524","7599",0.5875,Undirected
"7524","7522",0.5892256,Undirected
"7524","7763",0.6777778,Undirected
"7524","6584",0.010101,Undirected
"7524","7525",0.6239316,Undirected
"2871","5162",0.0185185,Undirected
"2871","9510",0.0175439,Undirected
"2871","8212",0.015873,Undirected
"2235","0460",0.0138889,Undirected
"2235","6417",0.0114943,Undirected
"2235","6413",0.0175439,Undirected
"2235","6342",0.0111111,Undirected
"2235","2882",0.0057471,Undirected
"2235","0819",0.0185185,Undirected
"7781","0343",0.0133333,Undirected
"7781","0611",0.0087719,Undirected
"0572","8484",0.0144928,Undirected
"0572","7243",0.0144928,Undirected
"7742","8748",0.5833333,Undirected
"7742","8422",0.0095238,Undirected
"7742","7284",0.5714286,Undirected
"7742","5163",0.6166667,Undirected
"7742","7138",0.625,Undirected
"7742","5332",0.5654762,Undirected
"7284","2924",0.0072464,Undirected
"7284","7451",0.7539682,Undirected
"7284","2472",0.0092593,Undirected
"7284","7251",0.6269841,Undirected
"7284","7412",0.5740741,Undirected
"0224","0240",0.5568268,Undirected
"0224","0230",0.6064073,Undirected
"0224","6531",0.0144928,Undirected
"8432","8451",0.5820786,Undirected
"8432","7643",0.0095238,Undirected
"8432","8472",0.6338624,Undirected
"8432","8749",0.0095238,Undirected
"8432","8441",0.550457,Undirected
"8432","8510",0.5705792,Undirected
"8432","8452",0.6076596,Undirected
"8432","8422",0.6325397,Undirected
"8432","8433",0.6897784,Undirected
"8432","8421",0.7593808,Undirected
"8432","8424",0.6516517,Undirected
"8432","8463",0.5580274,Undirected
